animation_id,frame_id,run_id,sample_id,state,category,x_mm,y_mm,target_zone,event_type,event_label,notes
baseline_multi_box_sorting,139,baseline_multi_box_run,MBOX-079,APPROACH_TARGET_SLOT,Category B,300.000,128.000,output_B,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,140,baseline_multi_box_run,MBOX-080,APPROACH_SCAN_STATION,Category C,-140.000,60.000,output_C,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,141,baseline_multi_box_run,MBOX-081,MOVE_SAFE_ABOVE_INPUT,Category D,-344.000,-91.000,output_D,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,142,baseline_multi_box_run,MBOX-081,LIFT_TO_SAFE_Z_AFTER_SCAN,Category D,-140.000,60.000,output_D,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,143,baseline_multi_box_run,MBOX-082,LIFT_TO_SAFE_Z,Category A,-316.000,-91.000,output_A,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,144,baseline_multi_box_run,MBOX-082,PLACE_TUBE,Category A,118.000,128.000,output_A,place_to_output,place to Category A,place tube
baseline_multi_box_sorting,145,baseline_multi_box_run,MBOX-083,SCAN_BARCODE,Category B,-140.000,60.000,output_B,scan,scan barcode,scan and classify
baseline_multi_box_sorting,146,baseline_multi_box_run,MBOX-084,APPROACH_INPUT_SLOT,Category C,-260.000,-91.000,output_C,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,147,baseline_multi_box_run,MBOX-084,MOVE_SAFE_ABOVE_TARGET,Category C,118.000,-82.000,output_C,move_to_output,move to target,move above target
baseline_multi_box_sorting,148,baseline_multi_box_run,MBOX-085,MOVE_SAFE_ABOVE_SCAN,Category D,-140.000,60.000,output_D,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,149,baseline_multi_box_run,MBOX-085,RETREAT_TO_SAFE_Z,Category D,328.000,-82.000,output_D,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,150,baseline_multi_box_run,MBOX-086,CLASSIFY_SAMPLE,Category A,-140.000,60.000,output_A,classify,classify sample,scan and classify
baseline_multi_box_sorting,151,baseline_multi_box_run,MBOX-087,PICK_TUBE,Category B,-344.000,-119.000,output_B,pick,pick tube,pick tube
baseline_multi_box_sorting,152,baseline_multi_box_run,MBOX-087,APPROACH_TARGET_SLOT,Category B,356.000,128.000,output_B,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,153,baseline_multi_box_run,MBOX-088,APPROACH_SCAN_STATION,Category C,-140.000,60.000,output_C,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,154,baseline_multi_box_run,MBOX-089,MOVE_SAFE_ABOVE_INPUT,Category D,-288.000,-119.000,output_D,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,155,baseline_multi_box_run,MBOX-089,LIFT_TO_SAFE_Z_AFTER_SCAN,Category D,-140.000,60.000,output_D,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,156,baseline_multi_box_run,MBOX-090,LIFT_TO_SAFE_Z,Category A,-260.000,-119.000,output_A,trajectory,LIFT_TO_SAFE_Z,lift picked tube
